tool,row_index,delta,n,strength,effective_realizations_per_orientation,total,gap_accuracy,joint_accuracy,gap_false_positive_rate,joint_false_positive_rate,gap_false_negative_rate,joint_false_negative_rate,error_gap_minus_error_joint,gap_wrong_joint_right,gap_right_joint_wrong,mcnemar_pvalue,reference_label_flips_from_clean_parent,gap_positive_rate,joint_positive_rate,gap_accuracy_ci95,joint_accuracy_ci95,error_difference_ci95
ssh_disorder_diagnostic_benchmark,41,0.05,80.0,0.05,128.0,256.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,42,0.05,80.0,0.1,128.0,256.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,43,0.05,80.0,0.2,128.0,256.0,1.0,0.984375,0.0,0.0,0.0,0.03125,-0.015625,0.0,4.0,0.125,0.0,,,,,
ssh_disorder_diagnostic_benchmark,44,0.05,80.0,0.4,128.0,256.0,0.96875,0.96875,0.0390625,0.0390625,0.0234375,0.0234375,0.0,0.0,0.0,1.0,4.0,,,,,
ssh_disorder_diagnostic_benchmark,45,0.1,80.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,46,0.1,80.0,0.05,128.0,256.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,47,0.1,80.0,0.1,128.0,256.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,48,0.1,80.0,0.2,128.0,256.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,49,0.1,80.0,0.4,128.0,256.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,50,0.2,80.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,51,0.2,80.0,0.05,128.0,256.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,52,0.2,80.0,0.1,128.0,256.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,53,0.2,80.0,0.2,128.0,256.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,54,0.2,80.0,0.4,128.0,256.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,55,0.05,20.0,0.0,1.0,2.0,,,,,,,,,,,,0.0,0.0,,,
ssh_disorder_diagnostic_benchmark,56,0.05,20.0,0.05,128.0,256.0,,,,,,,,,,,,0.0,0.0,,,
ssh_disorder_diagnostic_benchmark,57,0.05,20.0,0.1,128.0,256.0,,,,,,,,,,,,0.0,0.0,,,
ssh_disorder_diagnostic_benchmark,58,0.05,20.0,0.2,128.0,256.0,,,,,,,,,,,,0.0,0.0,,,
ssh_disorder_diagnostic_benchmark,59,0.05,20.0,0.4,128.0,256.0,,,,,,,,,,,,0.0,0.0,,,
ssh_disorder_diagnostic_benchmark,60,0.1,20.0,0.0,1.0,2.0,,,,,,,,,,,,0.0,0.0,,,
ssh_disorder_diagnostic_benchmark,61,0.1,20.0,0.05,128.0,256.0,,,,,,,,,,,,0.0,0.0,,,
ssh_disorder_diagnostic_benchmark,62,0.1,20.0,0.1,128.0,256.0,,,,,,,,,,,,0.0,0.0,,,
ssh_disorder_diagnostic_benchmark,63,0.1,20.0,0.2,128.0,256.0,,,,,,,,,,,,0.0,0.0,,,
ssh_disorder_diagnostic_benchmark,64,0.1,20.0,0.4,128.0,256.0,,,,,,,,,,,,0.0,0.0,,,
ssh_disorder_diagnostic_benchmark,65,0.2,20.0,0.0,1.0,2.0,,,,,,,,,,,,0.5,0.5,,,
ssh_disorder_diagnostic_benchmark,66,0.2,20.0,0.05,128.0,256.0,,,,,,,,,,,,0.5,0.5,,,
ssh_disorder_diagnostic_benchmark,67,0.2,20.0,0.1,128.0,256.0,,,,,,,,,,,,0.5,0.5,,,
ssh_disorder_diagnostic_benchmark,68,0.2,20.0,0.2,128.0,256.0,,,,,,,,,,,,0.4375,0.5,,,
ssh_disorder_diagnostic_benchmark,69,0.2,20.0,0.4,128.0,256.0,,,,,,,,,,,,0.2734375,0.47265625,,,
ssh_disorder_diagnostic_benchmark,70,0.05,40.0,0.0,1.0,2.0,,,,,,,,,,,,0.0,0.0,,,
ssh_disorder_diagnostic_benchmark,71,0.05,40.0,0.05,128.0,256.0,,,,,,,,,,,,0.0,0.0,,,
ssh_disorder_diagnostic_benchmark,72,0.05,40.0,0.1,128.0,256.0,,,,,,,,,,,,0.0,0.0,,,
ssh_disorder_diagnostic_benchmark,73,0.05,40.0,0.2,128.0,256.0,,,,,,,,,,,,0.0,0.0,,,
ssh_disorder_diagnostic_benchmark,74,0.05,40.0,0.4,128.0,256.0,,,,,,,,,,,,0.00390625,0.00390625,,,
ssh_disorder_diagnostic_benchmark,75,0.1,40.0,0.0,1.0,2.0,,,,,,,,,,,,0.5,0.5,,,
ssh_disorder_diagnostic_benchmark,76,0.1,40.0,0.05,128.0,256.0,,,,,,,,,,,,0.5,0.5,,,
ssh_disorder_diagnostic_benchmark,77,0.1,40.0,0.1,128.0,256.0,,,,,,,,,,,,0.48046875,0.48046875,,,
ssh_disorder_diagnostic_benchmark,78,0.1,40.0,0.2,128.0,256.0,,,,,,,,,,,,0.359375,0.359375,,,
